"areasymbol"|"lkey"|"areaname"|"mlraoffice"|"areaacres"|"mbrminx"|"mbrminy"|"mbrmaxx"|"mbrmaxy"
"IA121"|13700|"Madison County, Iowa"|"Indianapolis, IN"|360400|-94.2417849594088|41.156591567195|-93.7891167700745|41.5120049670947
"IA123"|13701|"Mahaska County, Iowa"|"Indianapolis, IN"|365800|-92.8715067536696|41.1610720935678|-92.4099963466862|41.509538590737
"IA125"|13702|"Marion County, Iowa"|"Indianapolis, IN"|368100|-93.3286930118551|41.1606688993205|-92.8697928405473|41.5085697836006
"IA127"|13703|"Marshall County, Iowa"|"Indianapolis, IN"|366700|-93.2319177440351|41.8622829918573|-92.7656380193886|42.210141104898
"IA129"|13704|"Mills County, Iowa"|"Indianapolis, IN"|281900|-95.8833760384723|40.9014605185493|-95.38432037709|41.1603264493841
"IA131"|13705|"Mitchell County, Iowa"|"Indianapolis, IN"|300500|-93.0246139464017|43.2124970904155|-92.5531781682119|43.5002998633045
"IA133"|13706|"Monona County, Iowa"|"Indianapolis, IN"|447300|-96.359824856581|41.8631335790082|-95.6705493384039|42.2149227565472
"IA135"|13708|"Monroe County, Iowa"|"Indianapolis, IN"|277900|-93.099216672668|40.8983566882433|-92.6391145461087|41.1614159296509
"IA137"|13709|"Montgomery County, Iowa"|"Indianapolis, IN"|271300|-95.3847332605284|40.9006686432317|-94.9275051569075|41.1600567234418
"IA139"|13710|"Muscatine County, Iowa"|"Indianapolis, IN"|287500|-91.3693290839649|41.3335885675087|-90.7837133297786|41.5983487925991
"IA141"|13711|"O'Brien County, Iowa"|"Indianapolis, IN"|367100|-95.862408443687|42.9091671421454|-95.3877695940935|43.2584538759009
"IA143"|13712|"Osceola County, Iowa"|"Indianapolis, IN"|255400|-95.8619106671342|43.2552332296274|-95.3874147393689|43.500269671406
"IA145"|13713|"Page County, Iowa"|"Indianapolis, IN"|342600|-95.3853712546937|40.5750924859446|-94.9131645134019|40.9015617913268
"IA147"|13714|"Palo Alto County, Iowa"|"St. Paul, MN"|363600|-94.9138842739314|42.9080618304737|-94.4426127913956|43.2555003157798
"IA149"|13715|"Plymouth County, Iowa"|"Indianapolis, IN"|553000|-96.639566463446|42.5607070459696|-95.8585874173788|42.9101634045761
"IA151"|13716|"Pocahontas County, Iowa"|"St. Paul, MN"|369900|-94.9155755323865|42.5587630332349|-94.4428509799828|42.9096860452509
"IA153"|13717|"Polk County, Iowa"|"St. Paul, MN"|378800|-93.8158224358294|41.48199174003|-93.3285805249971|41.8635070290003
"IA155"|13719|"Pottawattamie County, Iowa"|"Indianapolis, IN"|613800|-96.0197824582154|41.1592218998404|-95.1547249230681|41.5068844911175
"IA157"|13720|"Poweshiek County, Iowa"|"Indianapolis, IN"|374900|-92.7668183212374|41.5087119472764|-92.2975113700515|41.8628546715701
"IA159"|13721|"Ringgold County, Iowa"|"Indianapolis, IN"|343100|-94.4717416699143|40.5709873909191|-94.0149068495543|40.8995101232973
"IA161"|13722|"Sac County, Iowa"|"Indianapolis, IN"|370100|-95.3882275077411|42.2097356276816|-94.8566347870186|42.5617571628822
"IA163"|13723|"Scott County, Iowa"|"Indianapolis, IN"|299900|-90.8998315625911|41.4495889553958|-90.3127796336255|41.7767181281664
"IA165"|13725|"Shelby County, Iowa"|"Indianapolis, IN"|378300|-95.5580329132905|41.504826794423|-95.0407082049922|41.8642976805012
"IA167"|13726|"Sioux County, Iowa"|"Indianapolis, IN"|492000|-96.5714888548069|42.9089238535865|-95.8593461617841|43.26013773816
"IA169"|13727|"Story County, Iowa"|"St. Paul, MN"|367200|-93.6987709836002|41.8627568800792|-93.2315516483781|42.2094104838644
"IA171"|13728|"Tama County, Iowa"|"Indianapolis, IN"|462300|-92.768013823932|41.8622131062702|-92.2974616307388|42.2975421104969
"IA173"|13729|"Taylor County, Iowa"|"Indianapolis, IN"|343900|-94.9287518524834|40.5708752358063|-94.4708382785048|40.9006912751279
"IA175"|13730|"Union County, Iowa"|"Indianapolis, IN"|273100|-94.4712786773246|40.8970267608724|-94.014293824098|41.1575921667274
"IA177"|13731|"Van Buren County, Iowa"|"Indianapolis, IN"|312800|-92.1798373637982|40.5985235059832|-91.7165972468668|40.9013459137968
"IA179"|13733|"Wapello County, Iowa"|"Indianapolis, IN"|278800|-92.640157782177|40.8988794103793|-92.1790204942084|41.1627061026398
"IA181"|13734|"Warren County, Iowa"|"Indianapolis, IN"|366900|-93.790881186205|41.1604392265837|-93.3278539480575|41.5121060623931
"IA183"|13735|"Washington County, Iowa"|"Indianapolis, IN"|365200|-91.9468556541269|41.1614461543809|-91.4839905506597|41.5116771877281
"IA185"|19631|"Wayne County, Iowa"|"Indianapolis, IN"|337100|-93.5571322092776|40.5799342971512|-93.097167572326|40.8983581703267
"IA187"|14068|"Webster County, Iowa"|"St. Paul, MN"|459600|-94.4434968603486|42.2090582329931|-93.9315232894948|42.6452282575837
"IA189"|13738|"Winnebago County, Iowa"|"St. Paul, MN"|257100|-93.971014791596|43.2549920958577|-93.4972932676569|43.4998739716089
"IA191"|13740|"Winneshiek County, Iowa"|"St. Paul, MN"|441500|-92.081304141696|43.081673905209|-91.6040107700467|43.5008112061456
"IA193"|13741|"Woodbury County, Iowa"|"Indianapolis, IN"|561500|-96.4990458005823|42.211286562578|-95.669060576536|42.5621808833958
"IA195"|20537|"Worth County, Iowa"|"Indianapolis, IN"|257100|-93.4977975080399|43.2549658237888|-93.0239272894119|43.4997841837203
"IA197"|13744|"Wright County, Iowa"|"St. Paul, MN"|372400|-93.9716354688633|42.557554581002|-93.4986617888985|42.9087186773422
"ID001"|27535|"Ada County, Idaho"|"Portland, OR"|678810|-116.513657688124|43.1122510419517|-115.974883936646|43.807904326367
"ID057"|10516|"Latah County, Idaho"|"Bozeman, MT"|689200|-117.040028114158|46.541864368671|-116.329366515011|47.1308163402338
"ID600"|11206|"Seven Devils Area, Idaho"|"Bozeman, MT"|217950|-116.699073146369|45.1407758158487|-116.327133662808|45.7141074332926
"ID601"|11207|"Boundary County Area, Idaho"|"Bozeman, MT"|249000|-116.591082537187|48.5009358998963|-116.049086518567|49.0006302321128
"ID604"|11208|"Bonner County Area, Idaho, Parts of Bonner and Boundary Counties"|"Bozeman, MT"|677320|-117.042132795288|47.9771122585694|-116.049082527282|48.9048131776205
"ID606"|10414|"Kootenai County Area, Idaho"|"Bozeman, MT"|513000|-117.04238717048|47.3660905855901|-116.323640437184|47.991533659946
"ID608"|11209|"St. Joe Area, Idaho, Parts of Benewah and Shoshone Counties"|"Bozeman, MT"|721800|-116.835398950581|46.9338534548995|-115.686373862344|47.6743725741691
"ID609"|11210|"Nez Perce National Forest, Idaho"|"Bozeman, MT"|2425330|-116.270602363789|45.3756356998452|-114.387282097918|46.3746129174062
"ID611"|10417|"Lewis and Nez Perce Counties, Idaho"|"Portland, OR"|854800|-117.062892987488|45.8551271082008|-116.012396672064|46.6313643768141
"ID612"|11211|"Clearwater Area, Idaho"|"Bozeman, MT"|920572|-116.455941654839|46.2656954692693|-115.635008504536|46.9347853348143
"ID617"|11212|"Idaho County Area, Idaho, Western Part"|"Bozeman, MT"|750785|-116.79436429825|45.1088136269979|-115.401832630123|46.2255880785106
"ID618"|11213|"Kooskia Area, Idaho County, Idaho"|"Bozeman, MT"|316360|-116.170836204822|45.8875367500537|-115.575190635763|46.3944682392155
"ID620"|15803|"Benewah County Area, Idaho, Western Part"|"Bozeman, MT"|238240|-117.040057509497|47.0433619203507|-116.522834208593|47.4147193802478
"ID650"|17111|"Teton Area, Idaho and Wyoming"|"Portland, OR"|209357|-111.400862970601|43.5633231826516|-110.991506627646|43.9588962662983
"ID652"|11214|"Valley Area, Idaho, Parts of Adams and Valley Counties"|"Bozeman, MT"|321706|-116.213645805913|44.1801950220415|-115.846757972947|45.0640668511534
"ID656"|10418|"Adams-Washington Area, Parts of Adams and Washington Counties, Idaho"|"Portland, OR"|1105296|-117.24306567807|44.1510179306622|-116.154947290227|45.2680345986661
"ID659"|10419|"Payette County, Idaho"|"Portland, OR"|263000|-116.983799344435|43.7926249276698|-116.45196180493|44.1526976504055
"ID660"|10420|"Gem County Area, Idaho"|"Portland, OR"|298429|-116.712762386423|43.8070959587423|-116.22796445704|44.386721948737
"ID662"|11215|"Middle Fork Payette River Area, Idaho, Parts of Valley and Boise Counties"|"Bozeman, MT"|291267|-116.038058608756|43.9797872222433|-115.607157009513|44.5668640412431
"ID665"|10422|"Canyon Area, Idaho"|"Portland, OR"|436160|-117.032837839026|43.2899438443643|-116.473388689611|43.8802941006718
"ID670"|20508|"Idaho Panhandle National Forest, Idaho-Washington-Montana"|"Bozeman, MT"|2633320|-117.169888201418|46.9164567460747|-115.069400950645|49.0009299596082
"ID671"|11217|"Clearwater National Forest, Idaho"|"Bozeman, MT"|1652374|-115.765526101771|46.1352645514176|-114.320261328445|47.0147495217229
"ID673"|10428|"Camas County Area, Idaho"|"Portland, OR"|347602|-115.086673515932|43.1979926641233|-114.374771965566|43.4856027846737
"ID675"|14312|"Owyhee County Area, Idaho"|"Davis, CA"|3710266|-117.0269628472|41.9964165789793|-115.037703942243|43.5746754430698
"ID677"|14313|"Duck Valley Indian Reservation, Idaho and Nevada"|"Davis, CA"|289548|-116.393230797802|41.8357235404314|-115.985987556432|42.1578817194094
"ID680"|10429|"Blaine County Area, Idaho"|"Portland, OR"|609094|-114.546996344064|43.1995980295085|-113.630381688449|43.7309621571741
"ID681"|10430|"Wood River Area, Idaho, Gooding County and Parts of Blaine, Lincoln, and Minidoka Counties"|"Portland, OR"|1429808|-115.086927935131|42.615894952643|-113.007350445179|43.2849691857796
"ID683"|27536|"Boise County Area, Idaho, Western Part"|"Portland, OR"|455552|-116.282327068977|43.5858204530952|-115.750013399327|44.2363531193281
"ID685"|27537|"Elmore County Area, Idaho, Parts of Elmore and Owyhee Counties"|"Portland, OR"|2498428|-116.51296543879|42.5058116190546|-115.028278835543|43.6315848299389
"ID700"|11218|"South Idaho Forests, Idaho"|"Bozeman, MT"|6188093|-117.040099538508|41.9940287214012|-112.886438617472|45.5697544312118
"ID701"|11219|"Challis National Forest, Western Part, Idaho"|"Bozeman, MT"|1458135|-115.305092436903|44.032004441771|-114.144570235019|44.8941666200835
"ID702"|10431|"Minidoka Area, Idaho, Parts of Minidoka, Blaine, and Lincoln Counties"|"Portland, OR"|323000|-113.932011287589|42.5187022886609|-113.33489391683|42.8943487327776
"ID703"|11220|"Challis National Forest, Eastern Part, Idaho"|"Portland, OR"|1528903|-114.568127396977|43.5668560871783|-112.922517114184|44.7410795928138
"ID704"|10433|"Jerome County and Part of Twin Falls County, Idaho"|"Portland, OR"|1548900|-115.038167561412|41.9944546682127|-113.931823393573|42.9187374550621
"ID707"|10434|"Cassia County, Idaho, West Part"|"Portland, OR"|371720|-114.286410942775|42.1549671900327|-113.49158877813|42.6735683031887
"ID708"|10435|"Cassia County, Idaho, Eastern Part"|"Portland, OR"|857668|-114.108135815483|41.9879354377384|-113.000832650182|42.6878471387862
"ID709"|10436|"Power County Area, Idaho"|"Portland, OR"|658611|-113.243629112545|42.3277238467012|-112.379578655143|43.1109767536403
"ID710"|10437|"Fort Hall Area, Idaho, Parts of Bannock, Bingham, Caribou, and Power Counties"|"Portland, OR"|531620|-112.752374340618|42.5612100350349|-111.945715045708|43.2668244563575
"ID711"|10438|"Bannock County Area, Idaho, Parts of Bannock and Power Counties"|"Portland, OR"|504610|-112.536301878051|42.2563520129991|-111.875449092553|42.9640608119736
"ID712"|11221|"Bear Lake County Area, Idaho"|"Bozeman, MT"|440844|-111.603157383783|42.000438254276|-111.046725790083|42.5906874345974
"ID713"|11222|"Caribou National Forest, Idaho and Wyoming"|"Bozeman, MT"|1057865|-112.536143618596|41.9971757902409|-111.000011767826|43.2357093846302
"ID714"|14314|"Franklin County Area, Idaho"|"Portland, OR"|305600|-112.109567552004|41.9976688180755|-111.642603773611|42.4307341979269
"ID715"|14315|"Oneida County Area, Idaho"|"Portland, OR"|679000|-113.000834526192|41.9976128252791|-112.089915357951|42.502987167387
"ID716"|11289|"Caribou County Area, Idaho"|"Portland, OR"|686946|-112.065980933358|42.4158828064376|-111.235598143666|43.0211410014431
"ID720"|11224|"Salmon National Forest, Idaho"|"Bozeman, MT"|1330605|-114.936539207546|44.3679355310987|-113.005325586264|45.7058934404566
"ID721"|20652|"City of Rocks National Reserve, Idaho"|"Davis, CA"|14407|-113.745572803465|42.0187466878156|-113.666892846641|42.1262848194009
"ID752"|10439|"Custer-Lemhi Area, Idaho, Parts of Blaine, Custer, and Lemhi Counties"|"Portland, OR"|1959720|-115.05501740529|43.6696105364506|-112.894297725268|45.3812537351235
"ID758"|11225|"Targhee National Forest, Idaho and Wyoming"|"Bozeman, MT"|1892905|-113.277758771481|43.0557234292525|-110.769206822561|44.7550048423839
"ID761"|17760|"Clark County, Idaho, Parts of Clark and Butte Counties"|"Portland, OR"|769840|-113.055727817754|43.9719589015942|-111.617530329664|44.5714786061491
"ID762"|10441|"Fremont County, Idaho, Western Part"|"Portland, OR"|625159|-112.156343415528|43.8833281609565|-111.129934164852|44.6903223502865
"ID763"|10442|"Butte County Area, Idaho, Parts of Butte and Bingham Counties"|"Portland, OR"|1013906|-113.694319888696|43.0671592020373|-112.519910851184|44.2334387360473
"ID765"|10443|"Jefferson County, Idaho"|"Portland, OR"|707600|-112.697237603734|43.6231133464592|-111.626043507125|44.0584300486749
"ID766"|10444|"Madison County Area, Idaho"|"Portland, OR"|261100|-111.983551576469|43.6550174758695|-111.39860054331|43.930213021766
"ID769"|10446|"Bonneville County Area, Idaho"|"Portland, OR"|657332|-112.520049789875|43.2816662308004|-111.208193905706|43.6269643550721
"ID770"|10447|"Bingham Area, Idaho"|"Portland, OR"|898470|-113.007789084234|42.863003922866|-111.334435744767|43.454449324263
"ID772"|10448|"Idaho National Engineering Laboratory, Idaho"|"Portland, OR"|219000|-113.084430484859|43.4812060005064|-112.599651772386|43.9723640252266
"ID780"|10449|"Craters of the Moon National Monument and Preserve, Idaho"|"Portland, OR"|754863|-113.996425487342|42.7053386765535|-113.081858969076|43.5780739557808
"ID782"|11226|"Yellowstone National Park, Wyoming-Montana-Idaho"|"Bozeman, MT"|2136121|-111.097987564489|44.1392064557112|-111.049882688722|44.4864214898035
"IL001"|20353|"Adams County, Illinois"|"Indianapolis, IN"|557470|-91.5130476982245|39.7568638392192|-90.9119801983479|40.2000741165919
"IL003"|11425|"Alexander County, Illinois"|"Indianapolis, IN"|163270|-89.5182566983006|36.9702055321192|-89.1329282176551|37.3354192222812
"IL005"|11300|"Bond County, Illinois"|"Indianapolis, IN"|244700|-89.6393369873599|38.7404887159378|-89.2501409485629|39.0283942622948
"IL007"|11664|"Boone County, Illinois"|"Indianapolis, IN"|180490|-88.9409417841908|42.1522951238012|-88.7053790385232|42.4950870464631
"IL009"|11301|"Brown County, Illinois"|"Indianapolis, IN"|197030|-90.916998714147|39.839093403717|-90.5103532311547|40.1059188089347
"IL011"|19657|"Bureau County, Illinois"|"Indianapolis, IN"|559110|-89.8623543584903|41.1485112408418|-89.1636875019606|41.585325575291
"IL013"|11304|"Calhoun County, Illinois"|"Indianapolis, IN"|181505|-90.9367246511125|38.8685232687584|-90.4509056493591|39.40019500322
"IL015"|15806|"Carroll County, Illinois"|"Indianapolis, IN"|298535|-90.3172400327384|41.9289972477181|-89.6847133864922|42.1990996388929
"IL017"|11307|"Cass County, Illinois"|"Indianapolis, IN"|245325|-90.5834499818102|39.8726194033521|-89.994415142513|40.1252154469755
"IL019"|11309|"Champaign County, Illinois"|"Indianapolis, IN"|638860|-88.4636404846186|39.8791108526233|-87.9287343940618|40.4006151305094
"IL021"|11311|"Christian County, Illinois"|"Indianapolis, IN"|458340|-89.5351200311263|39.3458354632064|-89.024000016728|39.8259726055777
"IL023"|15807|"Clark County, Illinois"|"Indianapolis, IN"|323685|-88.0139563560316|39.1575722437809|-87.5312096883476|39.4873435500443
"IL025"|19949|"Clay County, Illinois"|"Indianapolis, IN"|300430|-88.6983840115716|38.5992193076585|-88.2490543339943|38.9151849322852
"IL027"|11314|"Clinton County, Illinois"|"Indianapolis, IN"|322110|-89.7069532923636|38.4158694186245|-89.1383479253704|38.7432577560615
"IL029"|18174|"Coles County, Illinois"|"Indianapolis, IN"|326445|-88.4720391047566|39.3736547020561|-87.9601280903471|39.6859985440116
"IL031"|17466|"Cook County, Illinois"|"Indianapolis, IN"|616045|-88.2636814024881|41.4697115635406|-87.5241328806629|42.1543390070031
"IL033"|11317|"Crawford County, Illinois"|"Indianapolis, IN"|285320|-87.9504935666393|38.8488093340882|-87.512142490899|39.1792044261121
"IL035"|11318|"Cumberland County, Illinois"|"Indianapolis, IN"|221620|-88.4711980388009|39.1710476315901|-88.0077314259136|39.3789628173286
"IL037"|11320|"DeKalb County, Illinois"|"Indianapolis, IN"|405920|-88.9421128851321|41.6283807935626|-88.5882480922062|42.153606065836
"IL039"|17211|"De Witt County, Illinois"|"Indianapolis, IN"|258760|-89.1487679480989|40.0488781477436|-88.574714048921|40.2831844214222
"IL041"|11323|"Douglas County, Illinois"|"Indianapolis, IN"|266970|-88.4732558347219|39.6515961619692|-87.9369043695294|39.880204765441
"IL043"|11661|"DuPage County, Illinois"|"Indianapolis, IN"|215455|-88.2629444575659|41.6852953203947|-87.9141547091969|41.994124273212
"IL045"|17094|"Edgar County, Illinois"|"Indianapolis, IN"|398910|-87.9687671783557|39.4766227625526|-87.5316896131089|39.8830439154221
"IL047"|11424|"Edwards County, Illinois"|"Indianapolis, IN"|142585|-88.1508921284959|38.255680729598|-87.9370782747234|38.5705364391302
"IL049"|11326|"Effingham County, Illinois"|"Indianapolis, IN"|307220|-88.8067771682113|38.9108714468997|-88.3604678426608|39.2161110754238
"IL051"|11327|"Fayette County, Illinois"|"Indianapolis, IN"|464610|-89.2573648095766|38.7363373430616|-88.6935646084584|39.2178613680445
"IL053"|11329|"Ford County, Illinois"|"Indianapolis, IN"|310825|-88.4599574910193|40.3984804124138|-87.9317128367771|40.9976972938315
"IL055"|16878|"Franklin County, Illinois"|"Indianapolis, IN"|276300|-89.1784116976782|37.8618169595349|-88.7047845646526|38.1265747067915
"IL057"|11330|"Fulton County, Illinois"|"Indianapolis, IN"|565000|-90.4517660755649|40.1839296944303|-89.872127597949|40.7148583581165
"IL059"|11332|"Gallatin County, Illinois"|"Indianapolis, IN"|209985|-88.3752698374538|37.5730496421457|-88.0259219007189|37.9160834740772
"IL061"|11333|"Greene County, Illinois"|"Indianapolis, IN"|349810|-90.6221952973377|39.1176738898143|-90.1481225476533|39.5217957148404
"IL063"|17200|"Grundy County, Illinois"|"Indianapolis, IN"|275355|-88.595992405646|41.1083062310138|-88.2408994577627|41.4627250489386
"IL065"|11335|"Hamilton County, Illinois"|"Indianapolis, IN"|279070|-88.7067041726111|37.9064675661133|-88.3703740145376|38.2566223203125
"IL067"|11336|"Hancock County, Illinois"|"Indianapolis, IN"|521220|-91.5071692510628|40.1930976717052|-90.9042021490936|40.639205413208
"IL069"|15815|"Hardin County, Illinois"|"Morgantown, WV"|115980|-88.4151966987568|37.401396594375|-88.0608271499188|37.5997813702743
"IL071"|11338|"Henderson County, Illinois"|"Indianapolis, IN"|253310|-91.1856930199304|40.6349648205829|-90.7851735594742|41.0705127605853
"IL073"|11340|"Henry County, Illinois"|"Indianapolis, IN"|528120|-90.4376174568437|41.1493620682499|-89.8566332404637|41.5847071960097
"IL075"|11341|"Iroquois County, Illinois"|"Indianapolis, IN"|715925|-88.1319368467478|40.4855635665211|-87.5256966942315|41.010371772551
"IL077"|11343|"Jackson County, Illinois"|"Indianapolis, IN"|385395|-89.680823302796|37.5619645104051|-89.1507361488941|37.955335699648
"IL079"|17212|"Jasper County, Illinois"|"Indianapolis, IN"|319100|-88.3627482159263|38.8468870086582|-87.9450439650169|39.1749195874344
"IL081"|18001|"Jefferson County, Illinois"|"Indianapolis, IN"|373520|-89.1496592579009|38.1244798877628|-88.6989838100226|38.4769747192219
"IL083"|11346|"Jersey County, Illinois"|"Indianapolis, IN"|241790|-90.6034580278679|38.9231030934444|-90.1458917852118|39.2620129958345
"IL085"|19913|"Jo Daviess County, Illinois"|"St. Paul, MN"|395985|-90.6568738937475|42.1936869042284|-89.9197135518368|42.5084195753222
"IL087"|11349|"Johnson County, Illinois"|"Morgantown, WV"|223145|-89.0447651740622|37.2940563740545|-88.7085647646131|37.6006525660543
"IL089"|11351|"Kane County, Illinois"|"Indianapolis, IN"|335650|-88.6023905158322|41.7195992410803|-88.2381340290658|42.1542734611487
"IL091"|11353|"Kankakee County, Illinois"|"Indianapolis, IN"|435925|-88.2514479183311|40.9945876005378|-87.526239743243|41.2980932389824
"IL093"|15809|"Kendall County, Illinois"|"Indianapolis, IN"|206215|-88.6035577719123|41.4571493867733|-88.2521458296106|41.7247021631653
"IL095"|15758|"Knox County, Illinois"|"Indianapolis, IN"|461675|-90.4443311200934|40.7123186805509|-89.9845235147038|41.1521327492413
"IL097"|11357|"Lake County, Illinois"|"Indianapolis, IN"|301435|-88.1997812812984|42.1523878936131|-87.7590341665676|42.4957913424437
"IL099"|11359|"La Salle County, Illinois"|"Indianapolis, IN"|735640|-89.1671946811983|40.9257391031902|-88.5862670134704|41.6314209284143
"IL101"|11360|"Lawrence County, Illinois"|"Indianapolis, IN"|239495|-87.9123583607454|38.5680736856146|-87.4952779144516|38.8525413061476
"IL103"|17376|"Lee County, Illinois"|"Indianapolis, IN"|466500|-89.6325135197064|41.5848984288443|-88.9386777689801|41.9125258377644
"IL105"|11362|"Livingston County, Illinois"|"Indianapolis, IN"|669620|-88.9314501502353|40.6166149594955|-88.2349713935264|41.1142627659947
"IL107"|12284|"Logan County, Illinois"|"Indianapolis, IN"|396255|-89.60363063917|39.9169047135673|-89.1434686955135|40.3253229425838
"IL109"|11365|"McDonough County, Illinois"|"Indianapolis, IN"|377750|-90.909761958512|40.2763458499889|-90.4456564990255|40.639205413208
"IL111"|11367|"McHenry County, Illinois"|"Indianapolis, IN"|391220|-88.7075779750358|42.1534662604356|-88.198361228816|42.4951606812426
"IL113"|11369|"McLean County, Illinois"|"Indianapolis, IN"|759795|-89.2694063954655|40.281059095543|-88.4591375808639|40.7575763065473
"IL115"|18247|"Macon County, Illinois"|"Indianapolis, IN"|374920|-89.2178745598617|39.6527241744711|-88.7450163623414|40.0553699506368
"IL117"|11372|"Macoupin County, Illinois"|"Indianapolis, IN"|555250|-90.1537944275013|38.998403752275|-89.6985082157009|39.5233167389983
"IL119"|11374|"Madison County, Illinois"|"Indianapolis, IN"|473740|-90.2740687156688|38.6550403775586|-89.5950706020422|38.9994023045054
"IL121"|19539|"Marion County, Illinois"|"Indianapolis, IN"|368685|-89.1444247852583|38.4739196721711|-88.6951546483532|38.8263501427993
"IL123"|11376|"Marshall County, Illinois"|"Indianapolis, IN"|254880|-89.6387888005059|40.9211692544527|-89.0472654666034|41.1487066157489
"IL125"|11377|"Mason County, Illinois"|"Indianapolis, IN"|360510|-90.3552583101182|40.0508749964671|-89.6009778145197|40.4359823180495
"IL127"|15817|"Massac County, Illinois"|"Auburn, AL"|154710|-88.9291322543378|37.0652474840356|-88.4902346856759|37.3368607689015
"IL129"|15810|"Menard County, Illinois"|"Indianapolis, IN"|202030|-89.9953028863118|39.9015269214942|-89.5783305632116|40.1607599584456
"IL131"|11380|"Mercer County, Illinois"|"Indianapolis, IN"|363610|-91.1142815874068|41.0636440915647|-90.4337629014661|41.3333914239536
"IL133"|11382|"Monroe County, Illinois"|"Indianapolis, IN"|254355|-90.3729355937008|38.0878629788399|-89.8967965522092|38.5205164710575
"IL135"|17208|"Montgomery County, Illinois"|"Indianapolis, IN"|454265|-89.7038575777845|38.9989833224756|-89.13947533003|39.5246068908523
"IL137"|19071|"Morgan County, Illinois"|"Indianapolis, IN"|367180|-90.5989492917682|39.5199394748567|-89.9238214563629|39.8765209527501
"IL139"|11385|"Moultrie County, Illinois"|"Indianapolis, IN"|220255|-88.8126804486725|39.4472890644661|-88.4704877643539|39.7922265832602
"IL141"|12283|"Ogle County, Illinois"|"Indianapolis, IN"|488520|-89.6886078044593|41.8858614928325|-88.9389510619351|42.2042741550532
"IL143"|12286|"Peoria County, Illinois"|"Indianapolis, IN"|402680|-89.9889869638522|40.5132076677811|-89.4477557905307|40.9750559970556
"IL145"|11389|"Perry County, Illinois"|"Indianapolis, IN"|286015|-89.5950511014426|37.9500703741162|-89.1152178356754|38.2193068728196
"IL147"|19540|"Piatt County, Illinois"|"Indianapolis, IN"|281015|-88.7459282970678|39.7917942525542|-88.4604040401582|40.2817605346602
"IL149"|11867|"Pike County, Illinois"|"Indianapolis, IN"|543955|-91.3699686358743|39.39569229566|-90.5656682665448|39.8448683495786
"IL151"|15372|"Pope County, Illinois"|"Morgantown, WV"|239765|-88.7106193186239|37.0667002373577|-88.4120987589355|37.5999590639775
"IL153"|16008|"Pulaski County, Illinois"|"Auburn, AL"|130080|-89.2735021800498|37.0670597892116|-88.9280258371357|37.3355000253986
"IL155"|11392|"Putnam County, Illinois"|"Indianapolis, IN"|110135|-89.4664925813246|41.1037689202164|-89.1622236502378|41.3225077901658
"IL157"|11394|"Randolph County, Illinois"|"Indianapolis, IN"|380725|-90.2068452588247|37.8034388086818|-89.5924186938372|38.2231600130948
"IL159"|19942|"Richland County, Illinois"|"Indianapolis, IN"|231430|-88.2974125702195|38.5690352339021|-87.9080717082161|38.8501552934425
"IL161"|11396|"Rock Island County, Illinois"|"Indianapolis, IN"|288910|-91.0721348582423|41.3267249279343|-90.1599768109054|41.7830009756142
"IL163"|11398|"St. Clair County, Illinois"|"Indianapolis, IN"|431330|-90.2638429260282|38.2194532155955|-89.7032345399431|38.6605692266945
"IL165"|11399|"Saline County, Illinois"|"Indianapolis, IN"|247400|-88.7085647647598|37.5990380494474|-88.373780718437|37.9077940945557
"IL167"|11401|"Sangamon County, Illinois"|"Indianapolis, IN"|560755|-89.9945255296306|39.522113951168|-89.2174090030481|39.9767391708253
"IL169"|12006|"Schuyler County, Illinois"|"Indianapolis, IN"|281920|-90.9134429635928|39.9786231225727|-90.1998366060417|40.2843387084897
"IL171"|18910|"Scott County, Illinois"|"Indianapolis, IN"|161550|-90.6461047127303|39.5203833774224|-90.3006206456028|39.7900949652028
"IL173"|11403|"Shelby County, Illinois"|"Indianapolis, IN"|491280|-89.1398344220836|39.2149386318044|-88.4703831578848|39.6543209233591
"IL175"|11404|"Stark County, Illinois"|"Indianapolis, IN"|184115|-89.985504685686|40.9737046755308|-89.6384498809804|41.2344382417209
"IL177"|11405|"Stephenson County, Illinois"|"Indianapolis, IN"|361390|-89.926528408421|42.1966284749041|-89.3961989755278|42.5058146556579
"IL179"|11406|"Tazewell County, Illinois"|"Indianapolis, IN"|420910|-89.9248052190385|40.3192279207864|-89.2637263009333|40.7482733581447
"IL181"|11408|"Union County, Illinois"|"Indianapolis, IN"|270285|-89.5219984019372|37.3297778752771|-89.041466244881|37.6004024342856
"IL183"|17508|"Vermilion County, Illinois"|"Indianapolis, IN"|577030|-87.9420671574507|39.8684350895913|-87.526438496635|40.4912329260903
"IL185"|11410|"Wabash County, Illinois"|"Indianapolis, IN"|145555|-87.9921996797129|38.2363022708353|-87.6451810764177|38.5701953004309
"IL187"|11412|"Warren County, Illinois"|"Indianapolis, IN"|348100|-90.7896694403744|40.6276478920297|-90.439401819809|41.0688421514919
"IL189"|15812|"Washington County, Illinois"|"Indianapolis, IN"|360900|-89.7042341797341|38.2127973393795|-89.1438211221591|38.518819683841
"IL191"|19541|"Wayne County, Illinois"|"Indianapolis, IN"|457780|-88.7024098138994|38.2553162681118|-88.1476438212644|38.6073276113909
